"Prüfungsteilnehmer-ID";"Seriennummer";"Welche Aussagen treffen für diesen Screenshot vom Oszilloskop zu? (5P)";"Welche mathematischen Funktionen beschreiben den dargestellten Verlauf auf dem Oszilloskop? (4P)";"Im Versuch 1 haben Sie auf dem Versuchsboard mehrere Verstärkerschaltungen (OPVs). An einer dieser Verstärkerschaltungen könnten Sie direkt folgende Signale gemessen haben. An Kanal 1 ist das Signal nach dem Verstärker und an Kanal 2 ist das Signal vor dem Verstärker dargestellt. Wie groß ist die Verstärkung des OPV? (2P)";"Welche der genannten Aussagen (Ursachen) können dafür sorgen das kein 'stehendes Bild', wie hier im einem Beispiel zu sehen, am Oszilloskop erzeugt wird? (3P)";"Worauf und an welcher Position wird hier getriggert? (2P)";"Im Versuch 2 haben Sie verschiedene Signalformen mit der FFT (Fast Fourier Transform) analysiert. Auf dem Screenshot sehen Sie so eine Analyse. Welche Signalform mit welcher Frequenz wird hier dargestellt? (2P, 1A)";"Im Versuch 2 haben Sie verschiedene Signalformen mit der FFT (Fast Fourier Transform) analysiert. Auf dem Screenshot sehen Sie so eine Analyse. Welche Signalform mit welcher Frequenz wird hier dargestellt? (4P, 1A)";"Mit der FFT können Sie auch Signale mit Gleichanteil untersuchen. Im folgenden Screenshot ist ein Signal mit 20 kHz Grundfrequenz dargestellt. Um welche Signalform handelt es sich? (2P, 1A)";"Welche Aussagen über das Maximum, Minimum und der entsprechenden Signalamplitude für das Maximum treffen hier zu? (4P, 3A)";"Im Versuch 1 wie auch im Versuch 2 werden Signale gefiltert. Hier sollen Sie einen Filter aufbauen/auslegen der die gegebenen Bedingungen erfüllt! (8P, 1A)";"Berechnen Sie den Crest/Scheitelfaktor des gegebenen Signals! (2P, 1A)";"Im Versuch 3 haben Sie sich mit Messunsicherheiten beschäftigt. Nehmen Sie an, sie haben einen Widerstand mit dem Farbcode 'orange|grau|gelb|braun|rot' zehn mal vermessen und folgende normalverteilte Messwerte (Tabelle 1) ohne systematischen Fehler erhalten. Geben Sie für diesen Widerstand ein Messergebnis nach GUM mit einem Konfidenzintervall von 95% an. (6P)";"Nehmen Sie jetzt an, dass die zehn Messwerte aus Tabelle 1 nun von zehn verschiedenen Widerständen stammen. Hat der Hersteller der Widerstände seine angegebene Toleranz eingehalten? (2P)";"Um welche Messbrücke betreffend der Diagonalspannung UD,1,2,3 handelt es sich? (3P)";"Welche Aussagen zur gegebenen Wheatstonebrücke treffen bezüglich der Spannungsgespeisten Diagonalspannung UD,u und Stromgespeisten Diagonalspannung UD,i zu? (6P, 2A)";"Wie groß ist das SNR für einen 16 Bit Wandler? (1P)";"Bei der Analog-Digitalwandlung werden mehrere Schritte durchgeführt. In Abbildung 2 sehen Sie von diesen Schritten Screenshots des entprechenden Signals. Ordnen Sie die Begriffe quantisiertes, analoges, abgetastetes, gefiltertes und interpoliertes Signal den Screenshots 1 bis 5 richtig zu. (5P)";"Bringen Sie die Schritte aus der Aufgabe 6.2 in die richtige Reihenfolge so das ein Signal AD-gewandelt werden kann. (2P, 1A)";"Ein Ultraschallsignal wurde mit dem Oszilloskop aufgezeichnet. Wird der Ultraschallwandler in Resonanz betrieben? (1P)";"Welches Aussagen treffen für den aus Matlab geplotteten Datensatz einer Admittanzmessung des Ultraschalwandlers zu? (4P)";"Auf dem Oszilloskop Screenshot die Signale einer Ultraschallwandlerstrecke zu sehen. Kanal 1 zeigt das Signal vom Funktionsgenerator mit Sender und Kanal 2 Signal vom Empfänger. Beide beide Wandler stehen sich, wie im Versuch 6, direkt gegenüber Pitch-Catch (ohne reflektierende Wand). Berechnen Sie den Abstand der beiden Wandler anhand der Informationen aus dem Screenshot. (4P, 1A)";"Note";"Summe Punkte";
2511377;1;0;0;0;0;2;0;4;2;0;0;2;3;0;3;6;0;0;2;1;4;4;5,0;33;
2423999;2;5;0;0;0;2;0;0;2;0;0;0;2;2;3;6;1;0;2;1;4;4;5,0;34;
2264718;3;0;0;0;3;2;2;4;2;0;8;0;6;0;3;6;1;5;2;1;4;4;2,3;53;
2427283;4;5;0;0;3;2;0;0;2;0;0;0;5,5;2;3;0;1;5;2;1;0;0;5,0;31,5;
2330040;5;0;0;0;0;0;0;0;0;0;0;0;0,5;0;3;0;1;0;2;1;0;0;5,0;7,5;
2400637;6;0;0;0;3;2;0;0;2;0;8;0;3;2;3;0;1;0;2;1;0;0;5,0;27;
2012261;7;5;4;0;3;2;2;4;2;0;8;0;6;0;3;6;0;0;2;1;0;0;3,0;48;
2254867;8;0;0;0;3;2;2;4;2;0;8;0;6;0;3;6;1;0;2;1;0;0;3,7;40;
2270511;9;5;0;0;0;2;2;4;2;0;0;2;6;2;3;6;1;0;2;1;0;4;3,7;42;
2391283;10;5;0;0;0;2;2;4;2;0;8;0;3,5;2;3;6;1;0;2;1;0;4;3,3;45,5;
2428020;11;0;0;0;0;2;2;4;2;0;8;0;4,5;0;0;6;1;0;2;1;4;4;3,7;40,5;
2387679;12;5;0;0;0;2;2;4;2;0;8;0;5,5;0;3;0;1;0;2;1;0;4;3,7;39,5;
2301354;13;5;0;0;3;2;2;0;0;0;8;2;2;2;3;6;0;0;2;1;4;4;3,3;46;
2287627;14;0;0;0;3;2;2;0;0;0;8;2;1,5;0;3;0;0;0;0;0;0;4;5,0;25,5;
2440325;15;5;0;0;3;2;2;4;2;0;8;0;6;2;3;6;1;0;0;1;4;4;2,3;53;
2251886;16;0;0;0;0;2;0;0;0;4;8;0;1,5;0;3;0;1;0;0;1;0;0;5,0;20,5;
2382894;17;0;0;0;0;2;0;0;0;0;0;0;2;2;3;0;0;0;2;1;0;0;5,0;12;
2397504;18;5;4;0;0;2;0;0;2;0;8;2;1;2;3;0;1;0;2;1;0;4;4,0;37;
2378455;19;5;0;0;0;2;0;0;0;0;8;0;1,5;2;3;6;0;5;2;1;4;4;3,3;43,5;
2307109;20;0;0;0;0;2;2;4;2;4;8;0;6;0;0;6;1;0;0;1;0;0;4,0;36;
2052551;21;5;4;0;0;0;0;0;0;0;8;0;2;0;3;6;1;0;2;1;0;0;5,0;32;
1979376;22;5;0;0;0;2;2;4;2;0;8;0;5;2;3;6;1;0;2;1;4;4;2,7;51;
2053217;23;5;4;0;3;2;2;4;2;0;8;0;2;0;3;0;1;0;0;1;0;0;4,0;37;
2254265;24;5;0;0;0;2;2;4;2;0;8;0;5;0;3;0;0;0;2;1;0;4;4,0;38;
2495383;25;5;0;0;0;2;2;4;2;0;0;2;4;0;3;0;1;0;2;1;0;4;5,0;32;
1598388;27;5;0;0;3;2;2;4;0;0;0;0;6;0;3;6;1;0;2;1;0;4;4,0;39;
1819834;28;0;0;0;0;2;2;4;0;4;8;2;0,5;0;3;0;1;0;2;1;4;0;5,0;33,5;
1832125;29;0;0;0;0;2;2;4;2;0;8;0;5;0;3;0;1;0;2;1;0;4;5,0;34;
2289214;30;5;0;0;0;2;0;0;0;0;8;0;1;2;3;0;1;0;2;1;4;4;5,0;33;
2414461;31;5;0;0;3;2;2;4;2;0;8;0;3,5;2;3;6;0;5;2;1;0;4;2,3;52,5;
1955798;32;0;0;0;3;2;0;0;0;0;0;0;2;2;3;0;1;5;2;1;4;0;5,0;25;
2367136;33;5;0;0;3;2;0;4;2;0;8;0;2;2;3;0;1;0;2;1;0;0;5,0;35;
1949377;34;0;0;0;0;0;0;0;0;0;0;2;0;2;3;0;0;0;0;1;0;0;5,0;8;
