Matrikelnummer;Note;Summe Punkte
2511377;5;33
2423999;5;34
2264718;2,3;53
2427283;5;31,5
2330040;5;7,5
2400637;5;27
2012261;3;48
2254867;3,7;40
2270511;3,7;42
2391283;3,3;45,5
2428020;3,7;40,5
2387679;3,7;39,5
2301354;3,3;46
2287627;5;25,5
2440325;2,3;53
2251886;5;20,5
2382894;5;12
2397504;4;37
2378455;3,3;43,5
2307109;4;36
2052551;5;32
1979376;2,7;51
2053217;4;37
2254265;4;38
2495383;5;32
1598388;4;39
1819834;5;33,5
1832125;5;34
2289214;5;33
2414461;2,3;52,5
1955798;5;25
2367136;5;35
1949377;5;8
2365824;3;46,5
2019837;5;6
2019523;5;21,5
2085609;5;31
2251695;2,7;50
2522968;5;22
1605349;5;4
2238964;5;20
2507336;5;22
1422988;5;34
2264556;5;26
1098367;5;31
2428745;3,7;41
2340344;5;34
2324577;5;35
2426378;2;59
1801266;5;27
1669042;4;37
2138145;5;28
2302573;5;32
2048989;5;9
2048206;5;9
2377867;5;34
2343493;5;33
2530358;5;32,5
2283825;5;26,5
1804522;2,7;50
2240017;3,3;44
2286301;5;34
2332970;3,7;41,5
2051756;5;25
2348210;3,3;44
2451589;3,3;43,5
2432016;5;32
2422657;5;30
1824298;5;8
2010331;5;16
1832811;5;26
2269085;5;18,5
2369697;2,7;49,5
2423766;5;33
2274960;5;16
2417976;5;34
2997535;5;29,5
2931708;3;47
2969686;2,3;54
2992886;5;25,5
2923813;5;35,5
2987901;5;13
2928740;3,7;42
2924197;4;36
2984289;5;16
2978871;2,7;50,5
2961833;5;35
2969275;3,7;40
2976679;3,7;42
2926991;3,3;44
2778628;5;29
2721756;5;33
2716664;3;49
2798682;5;35
2899756;4;39
2890991;5;33,5
2841571;4;39
2913658;5;34
2757801;5;30,5
2760652;5;29
2757607;5;28
2811349;3,3;46
2767587;2,7;51
2837938;5;17
2878081;2,3;54
2889575;5;28,5
2779300;3,7;42
2802963;3,7;40
2732981;5;33
2799966;3,7;41,5
2758855;5;27
2787541;3,7;41
2735506;5;30,5
2911511;1,7;61,5
2811640;5;30
2875453;5;21,5
2980429;5;35
2829124;3;49
2778482;5;20
2761198;5;25,5
2806888;3,3;46
2820660;3;48
2784777;3;46,5
2837996;5;34,5
2805708;3,7;40,5
2845195;5;16
2619538;4;36
2704362;3,7;41,5
2694317;3,3;43,5
2549695;3,7;40
2610841;5;24,5
2608947;5;20
2560959;2,7;51,5
2585798;4;38
2700162;5;13
2690434;5;26
2590864;3,7;40
2584087;5;34,5
2666581;5;31
2663458;5;19,5
2622088;5;32
2554391;2,3;54
2668958;5;25
2635363;3,3;45
2603968;4;39
2632625;3,3;45
2666060;3,3;43
2571184;2,7;52
2602118;5;34
2581417;4;38,5
2605704;5;35
2660545;5;31
2646572;2,7;49,5
2543358;5;30
2589037;5;17
2562711;5;23,5
2594912;5;26,5
2629612;5;32
2546847;5;26
2646255;2;57
2605908;3,3;42,5
2612373;5;35
2619965;2,7;51
2621788;5;29
2679316;5;6
2699037;5;8,5
2593298;4;36
2630407;2,3;54
2631192;2,3;55
